No,Product Name,Price,Currency,SKU,Brand,Description,URL,Image
1,"ادفيون جل لمكافحة الصراصير 30 جرام الاصلي",78.00,SAR,"Z.17841379769584298","","ادفيون جل لمكافحة الصراصير عبارة عن مبيد حشري على شكل طعم جاهز للاستخدام في مكافحة الصراصير البالغة والحوريات يحتوي على المادة الفعالة إندوكساكارب % 0,6 عديمة الرائحة. يحتوي على مواد جاذبة تجذب الصراص","https://tajagri.sa/products/ادفيون-جل-لمكافحة-الصراصير-30-جرام-الاصلي","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/184abf40-ab01-4c1d-89ae-8f9bf4fe0967-thumbnail-1000x1000-70.jpg"
2,"برايت 25% دبليو بي 100 جرام",23.00,SAR,"Z.17841334097165768","","برايت 25% دبليو بي – الحل الفعّال لمكافحة الحشرات والآفات 💪 قوة الأداء مبيد حشري عالي الكفاءة يحتوي على 25% من المادة الفعالة إميداكلوبريد، يعمل بفعالية مزدوجة عبر الملامسة والتأثير المعدي ليقضي على ","https://tajagri.sa/products/برايت-25-دبليو-بي-100-جرام","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/5da6e9c3-191e-41ed-b4d2-ca7f019e5c14-thumbnail-1000x1000-70.webp"
3,"مبيد عناكب وبرو – بيفنزيت حجم 500 مللي",138.00,SAR,"Z.17841324944673653","","بيفنزيت 24% أس سي الخصائص والمميزات:1- مبيد عناكبي متخصص على هيئة مركز، ويتبع مجموعة جديدة ومتميزة2- غير جهازي ويعمل بالملامسة ، له تأثير صاعق وسريع على كافة اطوارالعناكب3- يوفر حماية طويلة الامد ، ام","https://tajagri.sa/products/مبيد-عناكب-وبرو-بيفنزيت-حجم-500-مللي","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/9c2e1712-fcb4-48e7-8660-7f1bc48246b1-thumbnail-1000x1000-70.jpg"
4,"بتموس مخصب 300 لتر",165.00,SAR,"Z.17840299210378025","","💧 الخصائص الفيزيائية والبيولوجية نسبة الرطوبة: أكثر من 40% نسبة الكربون إلى النيتروجين (C/N): 1 / 40.5 البكتيريا القولونية: أقل من 5 خلايا/غرام المسامية: 60–90% الكثافة: أقل من 95 درجة الحموضة (pH): ","https://tajagri.sa/products/بتموس-مخصب-300-لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/34e1d376-f860-4ece-96ff-72abd2748e0f-thumbnail-1000x1000-70.jpg"
5,"مسحاة هلالية كبيرة",80.50,SAR,"Z.1783513753642435","","مسحاة هلالية كبيرة","https://tajagri.sa/products/مسحاة-هلالية-كبيرة","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/d3bfaf58-6adb-4f3a-acf4-8da8b0bb7c73-thumbnail-1000x1000-70.webp"
6,"عصا مسحاة اسبانى ( مدور )",23.00,SAR,"Z.17834276854004767","","عصا مسحاة اسبانى ( مدور )","https://tajagri.sa/products/عصا-مسحاة-اسبانى-مدور","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/b55a8f34-ebb2-4067-8940-651005a630ec-thumbnail-1000x1000-70.jpg"
7,"مسحاة هلالية صغيرة ",65.55,SAR,"Z.17834272232950273","","مسحاة هلالية صغيرة","https://tajagri.sa/products/مسحاة-هلالية-صغيرة","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/26fa0f38-5bf3-45ad-bc89-c4d23f34405b-thumbnail-1000x1000-70.webp"
8,"مانفيرت -ك- فروت 1لتر",40.25,SAR,"Z.17833580621980655","","مانفيرت كفروت هو منتج مبيد حشري يستخدم لمكافحة الحشرات الضارة في الفواكه. يساعد في السيطرة على الآفات المختلفة","https://tajagri.sa/products/مانفيرت-ك-فروت-5-لتر","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ddd67721-5734-4a7f-9bcf-70b837e1d9c5-thumbnail-1000x1000-70.jpg"
9,"مجموعة بذور الورقيات عدد ( 6 باكت )",14.00,SAR,"Z.17832709600332527","","مجموعة بذور الورقيات مكونه من 6 انواع  مختلفه كل باكت 50 جرام ملوخية جرجير بقدونس كرات كزبرة سلق","https://tajagri.sa/products/مجموعة-بذور-الورقيات-عدد-6-باكت","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/30453cf2-91fd-4367-8895-e1290920c8e3-thumbnail-1000x1000-70.jpg"
10,"مقص تقليم اينوكس 3622",55.00,SAR,"Z.17829229551547177","","مقص تقليم اينوكس 3622","https://tajagri.sa/products/مقص-تقليم-اينوكس-3622","https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/57d150e6-5e77-4807-9689-e727584928ce-thumbnail-1000x1000-70.webp"
