اسم المنتج,الوصف القصير,الوصف الكامل,السعر,العملة,الكمية,الصورة,التصنيف,الحالة,المتغر,الباركود,الوزن
"ادفيون جل لمكافحة الصراصير 30 جرام الاصلي","ادفيون جل لمكافحة الصراصير عبارة عن مبيد حشري على شكل طعم جاهز للاستخدام في مكافحة الصراصير البالغة ","ادفيون جل لمكافحة الصراصير عبارة عن مبيد حشري على شكل طعم جاهز للاستخدام في مكافحة الصراصير البالغة والحوريات يحتوي على المادة الفعالة إندوكساكارب % 0,6 عديمة الرائحة. يحتوي على مواد جاذبة تجذب الصراص",78.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/184abf40-ab01-4c1d-89ae-8f9bf4fe0967-thumbnail-1000x1000-70.jpg","",1,"","Z.17841379769584298",""
"برايت 25% دبليو بي 100 جرام","برايت 25% دبليو بي – الحل الفعّال لمكافحة الحشرات والآفات 💪 قوة الأداء مبيد حشري عالي الكفاءة يحتوي","برايت 25% دبليو بي – الحل الفعّال لمكافحة الحشرات والآفات 💪 قوة الأداء مبيد حشري عالي الكفاءة يحتوي على 25% من المادة الفعالة إميداكلوبريد، يعمل بفعالية مزدوجة عبر الملامسة والتأثير المعدي ليقضي على ",23.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/5da6e9c3-191e-41ed-b4d2-ca7f019e5c14-thumbnail-1000x1000-70.webp","",1,"","Z.17841334097165768",""
"مبيد عناكب وبرو – بيفنزيت حجم 500 مللي","بيفنزيت 24% أس سي الخصائص والمميزات:1- مبيد عناكبي متخصص على هيئة مركز، ويتبع مجموعة جديدة ومتميزة2-","بيفنزيت 24% أس سي الخصائص والمميزات:1- مبيد عناكبي متخصص على هيئة مركز، ويتبع مجموعة جديدة ومتميزة2- غير جهازي ويعمل بالملامسة ، له تأثير صاعق وسريع على كافة اطوارالعناكب3- يوفر حماية طويلة الامد ، ام",138.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/9c2e1712-fcb4-48e7-8660-7f1bc48246b1-thumbnail-1000x1000-70.jpg","",1,"","Z.17841324944673653",""
"بتموس مخصب 300 لتر","💧 الخصائص الفيزيائية والبيولوجية نسبة الرطوبة: أكثر من 40% نسبة الكربون إلى النيتروجين (C/N): 1 / 4","💧 الخصائص الفيزيائية والبيولوجية نسبة الرطوبة: أكثر من 40% نسبة الكربون إلى النيتروجين (C/N): 1 / 40.5 البكتيريا القولونية: أقل من 5 خلايا/غرام المسامية: 60–90% الكثافة: أقل من 95 درجة الحموضة (pH): ",165.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/34e1d376-f860-4ece-96ff-72abd2748e0f-thumbnail-1000x1000-70.jpg","",1,"","Z.17840299210378025",""
"مسحاة هلالية كبيرة","مسحاة هلالية كبيرة","مسحاة هلالية كبيرة",80.50,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/d3bfaf58-6adb-4f3a-acf4-8da8b0bb7c73-thumbnail-1000x1000-70.webp","",1,"","Z.1783513753642435",""
"عصا مسحاة اسبانى ( مدور )","عصا مسحاة اسبانى ( مدور )","عصا مسحاة اسبانى ( مدور )",23.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/b55a8f34-ebb2-4067-8940-651005a630ec-thumbnail-1000x1000-70.jpg","",1,"","Z.17834276854004767",""
"مسحاة هلالية صغيرة ","مسحاة هلالية صغيرة","مسحاة هلالية صغيرة",65.55,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/26fa0f38-5bf3-45ad-bc89-c4d23f34405b-thumbnail-1000x1000-70.webp","",1,"","Z.17834272232950273",""
"مانفيرت -ك- فروت 1لتر","مانفيرت كفروت هو منتج مبيد حشري يستخدم لمكافحة الحشرات الضارة في الفواكه. يساعد في السيطرة على الآفا","مانفيرت كفروت هو منتج مبيد حشري يستخدم لمكافحة الحشرات الضارة في الفواكه. يساعد في السيطرة على الآفات المختلفة",40.25,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ddd67721-5734-4a7f-9bcf-70b837e1d9c5-thumbnail-1000x1000-70.jpg","",1,"","Z.17833580621980655",""
"مجموعة بذور الورقيات عدد ( 6 باكت )","مجموعة بذور الورقيات مكونه من 6 انواع  مختلفه كل باكت 50 جرام ملوخية جرجير بقدونس كرات كزبرة سلق","مجموعة بذور الورقيات مكونه من 6 انواع  مختلفه كل باكت 50 جرام ملوخية جرجير بقدونس كرات كزبرة سلق",14.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/30453cf2-91fd-4367-8895-e1290920c8e3-thumbnail-1000x1000-70.jpg","",1,"","Z.17832709600332527",""
"مقص تقليم اينوكس 3622","مقص تقليم اينوكس 3622","مقص تقليم اينوكس 3622",55.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/57d150e6-5e77-4807-9689-e727584928ce-thumbnail-1000x1000-70.webp","",1,"","Z.17829229551547177",""
"مسحاة اسبانى وسط","مسحاة اسبانى كبيرة","مسحاة اسبانى كبيرة",86.25,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/41e4bb1d-f0b8-4349-b060-f2a45d238336-thumbnail-1000x1000-70.jpg","",1,"","Z.1782917934053395",""
"عصا مسحاة اسبانى","عصا مسحاة اسبانى","عصا مسحاة اسبانى",23.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/2b1a8b0b-f986-47a5-a3ab-8f569cc75fe7-thumbnail-1000x1000-70.webp","",1,"","Z.1782916999417119",""
"عصا مشط اسباني ","عصا مشط اسباني -حبة","عصا مشط اسباني -حبة",17.25,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/739e96d4-0b34-4db0-8cac-9a1fbe299d93-thumbnail-1000x1000-70.jpg","",1,"","Z.178291686694682",""
"مسحاة هلالية وسط","مسحاة هلالية وسط","مسحاة هلالية وسط",69.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/4d6c76d1-7a3d-415f-8f4c-3a3f6af55cf0-thumbnail-1000x1000-70.webp","",1,"","Z.17829161648212614",""
"مجموعة بالانس جاردن المتكاملة","نمو طبيعي ومتوازن يبدأ من الجذور وحتى أطراف النبات مجموعة متكاملة تم تصميمها من تاج الزراعية بعناية ","نمو طبيعي ومتوازن يبدأ من الجذور وحتى أطراف النبات مجموعة متكاملة تم تصميمها من تاج الزراعية بعناية لتحسين خواص الوسط الزراعي وتعزيز نمو النباتات بطريقة صحية وطبيعية.تحتوي المجموعة على مكونات تعمل بان",155.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/0d2d390c-c0d9-40fe-9cbc-4ca92dec9848-thumbnail-1000x1000-70.jpg","",1,"","Z.17828963457065544",""
"","","",0,SAR,100,"","",1,"","",""
"بذور  بقدونس 50 جرام","بذور بقدونس بنسبة إنبات عالية تبدأ من 70% ونسبة نقاوة 90% ودرجة حموضة من 5 إلى 7 درجة, تتمتع بقدرة ع","بذور بقدونس بنسبة إنبات عالية تبدأ من 70% ونسبة نقاوة 90% ودرجة حموضة من 5 إلى 7 درجة, تتمتع بقدرة عالية على تحمل مختلف الظروف الجوية, غير معدلة وراثيًا أو كيميائيًا",3.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/22f546ec-e8de-4c95-9e9c-592262b32641-thumbnail-1000x1000-70.jpg","",1,"","Z.17828407506266804",""
"بذور سلق  باكت 50جرام","بذور سلق ذات جودة عالية لنباتات قوية وغنية بالفيتامينات، مناسبة للحدائق والزراعة المنزلية. متوفرة في","بذور سلق ذات جودة عالية لنباتات قوية وغنية بالفيتامينات، مناسبة للحدائق والزراعة المنزلية. متوفرة في متجر تاج الزراعية بخيارات موثوقة للمزارعين والهواة.",3.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/f644e003-2984-4439-adaa-529b888de76f-thumbnail-1000x1000-70.jpg","",1,"","Z.17828402047201796",""
"بذور ملوخية بلدي 50 جرام","تتميز هذه الملوخية بالجودة العالية والطعم الشهي والفوائد الصحية المتعددة. استمتع بتحضير وجبات شهية و","تتميز هذه الملوخية بالجودة العالية والطعم الشهي والفوائد الصحية المتعددة. استمتع بتحضير وجبات شهية ومغذية مع ملوخية بلدي الطازجة | بذور ورقيات، شركة تاج الزراعية",3.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ddae1347-06c7-43a4-a5c3-66dba8de14b3-thumbnail-1000x1000-70.jpg","",1,"","Z.17828393572973602",""
" بذور كزبرة  50جرام","بذور كزبرة، ذور عالية الجودة تُعزز الحدائق المنزلية والمزارع بنكهتها الرائعة وتستخدم في تحضير العديد","بذور كزبرة، ذور عالية الجودة تُعزز الحدائق المنزلية والمزارع بنكهتها الرائعة وتستخدم في تحضير العديد من الأطباق المشهية | بذور ورقيات، شركة تاج الزراعية",3.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/8f7f614e-6bbc-4f39-a085-b5be1c0b4619-thumbnail-1000x1000-70.jpg","",1,"","Z.17828380036960998",""
"مابكو جرين مكس2كجم 10-52-10","مابكو جرين مكس2كجم 10-52-10 | شركة تاج الزراعية يقدم مجموعة متنوعة من أسمدة ومبيدات زراعية عالية الج","مابكو جرين مكس2كجم 10-52-10 | شركة تاج الزراعية يقدم مجموعة متنوعة من أسمدة ومبيدات زراعية عالية الجودة. اجعل زراعتك أكثر نجاحًا",35.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/16502c41-8c6a-4325-a3e9-c15a3befde64-thumbnail-1000x1000-70.jpg","",1,"","6285402334944",""
"ام كي بي تاج 34-52-0 كيس 25كيلو","ام كي بي (MKP) تاج 34-52-0 بكيس 25 كيلو - الخيار الأمثل لتحسين نمو محاصيلك , أسمدة زراعية | شركة تاج","ام كي بي (MKP) تاج 34-52-0 بكيس 25 كيلو - الخيار الأمثل لتحسين نمو محاصيلك , أسمدة زراعية | شركة تاج الزراعية",287.50,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/8cdf4c3f-443a-4b6a-858a-7db1bc36ec44-thumbnail-1000x1000-70.jpg","",1,"","6285402335651",""
"مانول زيت معدني 1 لتر","مانول زيت معدني | شركة تاج الزراعية ,يقدم حلاً متكاملاً لاحتياجاتك الزراعية. مستلزمات تساعدك في تحقي","مانول زيت معدني | شركة تاج الزراعية ,يقدم حلاً متكاملاً لاحتياجاتك الزراعية. مستلزمات تساعدك في تحقيق نجاح زراعتك",28.75,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/33aaac1f-cabc-44b3-a33c-e24f4a0ec675-thumbnail-1000x1000-70.jpg","",1,"","6295402340883",""
"بورون 10% حجم 5 لتر","مركب يحتوي على عنصر البورن الضروري لبناء الخلايا وزيادة الانتاج وتسهيل حركة المواد داخل النبات وخاصة","مركب يحتوي على عنصر البورن الضروري لبناء الخلايا وزيادة الانتاج وتسهيل حركة المواد داخل النبات وخاصة البوتاسيوم",145.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/eed79550-898b-4a5f-a03a-5555ed67efb6-thumbnail-1000x1000-70.jpg","",1,"","6285402334753",""
"تيبوزول مبيد فطري 25%  1لتر","تيبوزول 25% مبيدات فطرية - الجودة والفاعلية في منتج واحد, يتميز بقدراته على استئصال الامراض الفطرية ","تيبوزول 25% مبيدات فطرية - الجودة والفاعلية في منتج واحد, يتميز بقدراته على استئصال الامراض الفطرية بالإضافة الى قدراته الوقائية | شركة تاج الزراعية",80.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/af4fa66b-ff85-47fd-a285-fd9fc21c5a9b-thumbnail-1000x1000-70.jpg","",1,"","3400001",""
"جروميكس عبوة 1كجم","سماد شجر، جروميكس عبوة 1 كجم يوفر للأشجار العناصر الغذائية الأساسية التي تحتاجها للنمو والتطور. بترك","سماد شجر، جروميكس عبوة 1 كجم يوفر للأشجار العناصر الغذائية الأساسية التي تحتاجها للنمو والتطور. بتركيبته الغنية بالعناصر | مستلزمات زراعية، شركة تاج الزراعية",51.75,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/7c32ef45-37ce-48ed-a688-c3973dd3245c-thumbnail-1000x1000.png","",1,"","1100082",""
"احماض امينية حرة 25% + 7 % نيتروجين","أحماض أمينية حرة 25% + 7% نيتروجين لتحسين محصولك, الجودة التي تثق بها للزراعة , ابدأ في تعزيز مزرعتك","أحماض أمينية حرة 25% + 7% نيتروجين لتحسين محصولك, الجودة التي تثق بها للزراعة , ابدأ في تعزيز مزرعتك | أسمدة زراعية, شركة تاج الزراعية",28.75,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/7ae4369b-2958-4816-9d4e-bf7678cce0b7-thumbnail-1000x1000-70.jpg","",1,"","1100088",""
"هيومك صيني كيهيومك 1ك","سماد زراعي هيومك اسيد صينى من تاج الزراعية، لخفض قلوية التربة وتحسين امتصاص العناصر من قبل جذور النب","سماد زراعي هيومك اسيد صينى من تاج الزراعية، لخفض قلوية التربة وتحسين امتصاص العناصر من قبل جذور النبات | أسمدة زراعية، شركة تاج الزراعية",25.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/ecf5b5c9-6d07-4a39-ba2e-2f5fd5af23c3-thumbnail-1000x1000-70.webp","",1,"","1100079",""
" مانفيرت موفلي كالسيوم 1كيلو","سماد زراعي مانفيرت موفيلي الكالسيوم، من شركة بايوفيرت الإسبانية، يحتوي على عنصر الكالسيوم معقد واحما","سماد زراعي مانفيرت موفيلي الكالسيوم، من شركة بايوفيرت الإسبانية، يحتوي على عنصر الكالسيوم معقد واحماض امينية حرة | أسمدة مركبة، شركة تاج الزراعية",172.50,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/6e15193f-6456-4781-83f8-ba5aec5e8318-thumbnail-1000x1000-70.jpg","",1,"","1100089",""
"حديد صيني6% كهيومك 1 كيلو","حديد زراعي صيني 6% كهيومك| منتج زراعي بتركيز 6% حديد، يعزز نمو النباتات ويكافح نقص الحديد، يحسن لون ","حديد زراعي صيني 6% كهيومك| منتج زراعي بتركيز 6% حديد، يعزز نمو النباتات ويكافح نقص الحديد، يحسن لون وجودة الأوراق | أسمدة زراعية، شركة تاج الزراعية",57.50,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/c049965e-0e16-4675-9f43-105e110a33f7-thumbnail-1000x1000-70.jpg","",1,"","1100078",""
"كبريتات امونيوم محبب تاج 50 كيلو","كبريتات أمونيوم تاج بوزن 50 كيلو، تأثير فعال وجودة مضمونة تساهم في تحقيق نتائج مذهلة، احصل عليها الآ","كبريتات أمونيوم تاج بوزن 50 كيلو، تأثير فعال وجودة مضمونة تساهم في تحقيق نتائج مذهلة، احصل عليها الآن ولا تفوت فرصة الاستفادة | أسمدة مركبة، شركة تاج الزراعية",138.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/b80ac3a8-7098-4ab5-bdc5-861059b5cb30-thumbnail-1000x1000-70.jpg","",1,"","1100065",""
"فيرتامين عبوة 1لتر","فيرتامين عبوة 1لتر سماد سائل للنباتات الداخلية يحتوي على الأحماض الامينية التي تجعلها أكثر صحة مما ي","فيرتامين عبوة 1لتر سماد سائل للنباتات الداخلية يحتوي على الأحماض الامينية التي تجعلها أكثر صحة مما يجعل منه محفز لنمو جذور النباتات , فهو الخيار الامثل لزراعة نباتاتك | شركة تاج الزراعية",50.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/1c364bbc-9fbb-45b0-a9ad-6686e886cde4-thumbnail-1000x1000.png","",1,"","1100080",""
"فيرتامين عبوة 10لتر","اشترِ فيرتامين من تاج الزراعية لتعزيز نمو نباتاتك وتحسين صحتها وزيادة حيويتها بتركيبة فعالة وسريعة ا","اشترِ فيرتامين من تاج الزراعية لتعزيز نمو نباتاتك وتحسين صحتها وزيادة حيويتها بتركيبة فعالة وسريعة الامتصاص. اطلب الآن واستفد بأفضل سعر.",345.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/252128da-35c7-4ca5-861c-31b75622a020-thumbnail-1000x1000.png","",1,"","1100081",""
"جروجرين 12-12-36+ع ن عبوة 25 كجم","سماد 12 12 36 من تاج الزراعية بتركيبة متوازنة تدعم الإزهار وزيادة الإنتاج وتحسين جودة المحصول، مناسب","سماد 12 12 36 من تاج الزراعية بتركيبة متوازنة تدعم الإزهار وزيادة الإنتاج وتحسين جودة المحصول، مناسب لمختلف المزروعات. اطلب الآن واستفد بالعروض.",345.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/de4ba173-25d2-4e5e-a99d-33e0602d1cac-thumbnail-1000x1000.png","",1,"","1100084",""
"جروجرين 28-10-10+2 مغ+ع ن عبوة 25 كجم","اكتشف سر تحقيق إنتاج زراعي ممتاز مع جروجرين 28-10-102. تركيبة فريدة تضمن نموًا سريعًا وإنتاجية مضاعف","اكتشف سر تحقيق إنتاج زراعي ممتاز مع جروجرين 28-10-102. تركيبة فريدة تضمن نموًا سريعًا وإنتاجية مضاعفة. احصل على العبوة بوزن 25 كجم اليوم.",276.00,SAR,100,"https://media.zid.store/thumbs/7de0e23a-34de-4534-a0e6-ecf31aab83f7/88a279e0-9256-4f34-b11d-55e15b021ee5-thumbnail-1000x1000.png","",1,"","1100085",""
